"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,30,"BIH","Bosnia and Herzegovina",1,"Brcko",1,"Brcko",NA,NA,NA,NA
2,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",2,"Bosnian Podrinje","Županija|kanton","Canton",NA,"Bosansko-podrinjski|Goraždansko-podrinjski"
3,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",3,"Canton 10","Županija|kanton","Canton",NA,"Hercegbosanski| Hercegovacko-bosanski| West Bosnia"
4,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",4,"Central Bosnia","Županija|kanton","Canton",NA,"Centralnobosanski|Srednjobosanski"
5,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",5,"Herzegovina-Neretva","Županija|kanton","Canton",NA,"Hercegovackoneretvanski"
6,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",6,"Posavina","Županija|kanton","Canton",NA,"Bosanskoposavski|Posavski"
7,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",7,"Sarajevo","Županija|kanton","Canton",NA,"Sarajevski| Sarajevo-Romanija| Sokolac"
8,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",8,"Tuzla","Županija|kanton","Canton",NA,"Tuzlanski"
9,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",9,"Una-Sana","Županija|kanton","Canton",NA,"Unsko-sanski"
10,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",10,"West Herzegovina","Županija|kanton","Canton",NA,"Zapadnohercegovacki"
11,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",11,"Zenica-Doboj","Županija|kanton","Canton",NA,"Zenicko-dobojski"
12,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",12,"Banja Luka","Županija|kanton","Canton",NA,NA
13,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",13,"Bijeljina","Županija|kanton","Canton",NA,NA
14,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",14,"Doboj","Županija|kanton","Canton",NA,NA
15,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",15,"Foca","Županija|kanton","Canton",NA,NA
16,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",16,"Istocno Sarajevo","Županija|kanton","Canton",NA,NA
17,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",17,"Trebinje","Županija|kanton","Canton",NA,NA
18,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",18,"Vlasenica","Županija|kanton","Canton",NA,NA
