"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,30,"BIH","Bosnia and Herzegovina",1,"Brcko",1,"Brcko",1,"Brcko","Opcine","Commune",NA,NA
2,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",2,"Bosnian Podrinje",2,"Foca-Ustikolina","Opcine","Commune",NA,NA
3,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",2,"Bosnian Podrinje",3,"Goražde","Opcine","Commune",NA,NA
4,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",2,"Bosnian Podrinje",4,"Pale-Praca","Opcine","Commune",NA,NA
5,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",3,"Canton 10",5,"Bosansko Grahovo","Opcine","Commune",NA,NA
6,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",3,"Canton 10",6,"Drvar","Opcine","Commune",NA,NA
7,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",3,"Canton 10",7,"Glamoc","Opcine","Commune",NA,NA
8,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",3,"Canton 10",8,"Kupres","Opcine","Commune",NA,NA
9,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",3,"Canton 10",9,"Livno","Opcine","Commune",NA,NA
10,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",3,"Canton 10",10,"Tomislavgrad","Opcine","Commune",NA,NA
11,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",4,"Central Bosnia",11,"Bugojno","Opcine","Commune",NA,NA
12,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",4,"Central Bosnia",12,"Busovaca","Opcine","Commune",NA,NA
13,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",4,"Central Bosnia",13,"Dobretici","Opcine","Commune",NA,NA
14,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",4,"Central Bosnia",14,"Donji Vakuf","Opcine","Commune",NA,NA
15,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",4,"Central Bosnia",15,"Fojnica","Opcine","Commune",NA,NA
16,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",4,"Central Bosnia",16,"Gornji Vakuf-Uskoplje","Opcine","Commune",NA,NA
17,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",4,"Central Bosnia",17,"Jajce","Opcine","Commune",NA,NA
18,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",4,"Central Bosnia",18,"Kiseljak","Opcine","Commune",NA,NA
19,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",4,"Central Bosnia",19,"Kreševo","Opcine","Commune",NA,NA
20,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",4,"Central Bosnia",20,"Novi Travnik","Opcine","Commune",NA,NA
21,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",4,"Central Bosnia",21,"Travnik","Opcine","Commune",NA,NA
22,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",4,"Central Bosnia",22,"Vitez","Opcine","Commune",NA,NA
23,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",5,"Herzegovina-Neretva",23,"Capljina","Opcine","Commune",NA,NA
24,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",5,"Herzegovina-Neretva",24,"Citluk","Opcine","Commune",NA,NA
25,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",5,"Herzegovina-Neretva",25,"Jablanica","Opcine","Commune",NA,NA
26,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",5,"Herzegovina-Neretva",26,"Konjic","Opcine","Commune",NA,NA
27,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",5,"Herzegovina-Neretva",27,"Mostar","Opcine","Commune",NA,NA
28,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",5,"Herzegovina-Neretva",28,"Neum","Opcine","Commune",NA,NA
29,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",5,"Herzegovina-Neretva",29,"Prozor-Rama","Opcine","Commune",NA,NA
30,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",5,"Herzegovina-Neretva",30,"Ravno","Opcine","Commune",NA,NA
31,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",5,"Herzegovina-Neretva",31,"Stolac","Opcine","Commune",NA,NA
32,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",6,"Posavina",32,"Domaljevac-Šamac","Opcine","Commune",NA,NA
