"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,202,"SRB","Serbia",1,"Šumadijski",1,"Arandelovac","Opštine","Town|Municipal","<U+0410><U+0440><U+0430><U+043D><U+0452><U+0435><U+043B><U+043E><U+0432><U+0430><U+0446>",NA
2,202,"SRB","Serbia",1,"Šumadijski",2,"Batocina","Opštine","Town|Municipal","<U+0411><U+0430><U+0442><U+043E><U+0447><U+0438><U+043D><U+0430>",NA
3,202,"SRB","Serbia",1,"Šumadijski",3,"Knic","Opštine","Town|Municipal","<U+041A><U+043D><U+0438><U+045B>",NA
4,202,"SRB","Serbia",1,"Šumadijski",4,"Kragujevac","Opštine","Town|Municipal","<U+041A><U+0440><U+0430><U+0433><U+0443><U+0458><U+0435><U+0432><U+0430><U+0446>","Alacahisar"
5,202,"SRB","Serbia",1,"Šumadijski",5,"Lapovo","Opštine","Town|Municipal","<U+041B><U+0430><U+043F><U+043E><U+0432><U+043E>",NA
6,202,"SRB","Serbia",1,"Šumadijski",6,"Raca","Opštine","Town|Municipal","<U+0420><U+0430><U+0447><U+0430>",NA
7,202,"SRB","Serbia",1,"Šumadijski",7,"Topola","Opštine","Town|Municipal","<U+0422><U+043E><U+043F><U+043E><U+043B><U+0430>",NA
8,202,"SRB","Serbia",2,"Borski",8,"Bor","Opštine","Town|Municipal","<U+0411><U+043E><U+0440>",NA
9,202,"SRB","Serbia",2,"Borski",9,"Kladovo","Opštine","Town|Municipal","<U+041A><U+043B><U+0430><U+0434><U+043E><U+0432><U+043E>","Claudia|Kladowo"
10,202,"SRB","Serbia",2,"Borski",10,"Majdanpek","Opštine","Town|Municipal","<U+041C><U+0430><U+0458><U+0434><U+0430><U+043D><U+043F><U+0435><U+043A>",NA
11,202,"SRB","Serbia",2,"Borski",11,"Negotin","Opštine","Town|Municipal","<U+041D><U+0435><U+0433><U+043E><U+0442><U+0438><U+043D>",NA
12,202,"SRB","Serbia",3,"Branicevski",12,"Žabari","Opštine","Town|Municipal","<U+0416><U+0430><U+0431><U+0430><U+0440><U+0438>",NA
13,202,"SRB","Serbia",3,"Branicevski",13,"Žagubica","Opštine","Town|Municipal","<U+0416><U+0430><U+0433><U+0443><U+0431><U+0438><U+0446><U+0430>","Jagubita"
14,202,"SRB","Serbia",3,"Branicevski",14,"Golubac","Opštine","Town|Municipal","<U+0413><U+043E><U+043B><U+0443><U+0431><U+0430><U+0446>","Galambóc|Golumbácz|Güvercinlik"
15,202,"SRB","Serbia",3,"Branicevski",15,"Kucevo","Opštine","Town|Municipal","<U+041A><U+0443><U+0447><U+0435><U+0432><U+043E>",NA
16,202,"SRB","Serbia",3,"Branicevski",16,"Malo Crnice","Opštine","Town|Municipal","<U+041C><U+0430><U+043B><U+043E> <U+0426><U+0440><U+043D><U+0438><U+045B><U+0435>",NA
17,202,"SRB","Serbia",3,"Branicevski",17,"Petrovac","Opštine","Town|Municipal","<U+041F><U+0435><U+0442><U+0440><U+043E><U+0432><U+0430><U+0446>|<U+041F><U+0435><U+0442><U+0440><U+043E><U+0432><U+0430><U+0446> <U+043D><U+0430> <U+041C><U+043B><U+0430><U+0432><U+0438>","Petrovac na Mlavi"
18,202,"SRB","Serbia",3,"Branicevski",18,"Požarevac","Opštine","Town|Municipal","<U+041F><U+043E><U+0436><U+0430><U+0440><U+0435><U+0432><U+0430><U+0446>","Pojarevat|Pasarofça|Passarowitz"
19,202,"SRB","Serbia",3,"Branicevski",19,"Veliko Gradište","Opštine","Town|Municipal","<U+0412><U+0435><U+043B><U+0438><U+043A><U+043E> <U+0413><U+0440><U+0430><U+0434><U+0438><U+0448><U+0442><U+0435>",NA
20,202,"SRB","Serbia",4,"Grad Beograd",20,"Cukarica","Opštine","Town|Municipal","<U+0427><U+0443><U+043A><U+0430><U+0440><U+0438><U+0446><U+0430>",NA
21,202,"SRB","Serbia",4,"Grad Beograd",21,"Barajevo","Opštine","Town|Municipal","<U+0411><U+0430><U+0440><U+0430><U+0458><U+0435><U+0432><U+043E>",NA
