"Annual changes of HICP by groups and subgroups, 2003-5 - 2022-7"

"year.month","00 Total HICP"
"2003-05",0.2
"2003-06",0.5
"2003-07",-0.1
"2003-08",-0.4
"2003-09",0.3
"2003-10",0.7
"2003-11",1.3
"2003-12",0.5
"2004-01",-0.1
"2004-02",0.6
"2004-03",-1.0
"2004-04",-0.4
"2004-05",-0.1
"2004-06",-0.1
"2004-07",1.3
"2004-08",1.1
"2004-09",-2.3
"2004-10",-3.7
"2004-11",-4.1
"2004-12",-3.7
"2005-01",-4.0
"2005-02",-4.1
"2005-03",-2.4
"2005-04",-2.7
"2005-05",-2.3
"2005-06",-1.2
"2005-07",-1.4
"2005-08",-0.9
"2005-09",0.6
"2005-10",0.8
"2005-11",0.5
"2005-12",0.7
"2006-01",0.6
"2006-02",1.3
"2006-03",0.1
"2006-04",0.5
"2006-05",1.0
"2006-06",0.7
"2006-07",0.9
"2006-08",0.8
"2006-09",0.2
"2006-10",-0.4
"2006-11",0.5
"2006-12",1.1
"2007-01",2.3
"2007-02",1.5
"2007-03",0.7
"2007-04",0.2
"2007-05",0.7
"2007-06",1.1
"2007-07",1.3
"2007-08",6.4
"2007-09",6.5
"2007-10",10.7
"2007-11",10.4
"2007-12",10.5
"2008-01",10.7
"2008-02",11.4
"2008-03",13.2
"2008-04",13.6
"2008-05",14.2
"2008-06",14.0
"2008-07",14.1
"2008-08",7.8
"2008-09",7.8
"2008-10",4.5
"2008-11",2.6
"2008-12",0.5
"2009-01",-0.5
"2009-02",-1.2
"2009-03",-2.0
"2009-04",-3.5
"2009-05",-4.4
"2009-06",-4.0
"2009-07",-3.7
"2009-08",-3.0
"2009-09",-2.7
"2009-10",-2.6
"2009-11",-1.3
"2009-12",0.1
"2010-01",0.6
"2010-02",1.1
"2010-03",0.8
"2010-04",1.7
"2010-05",2.2
"2010-06",2.2
"2010-07",2.7
"2010-08",5.9
"2010-09",5.9
"2010-10",6.0
"2010-11",6.2
"2010-12",6.6
"2011-01",7.4
"2011-02",9.5
"2011-03",10.8
"2011-04",10.6
"2011-05",10.4
"2011-06",9.2
"2011-07",8.3
"2011-08",5.3
"2011-09",4.8
"2011-10",4.7
"2011-11",4.2
"2011-12",3.6
"2012-01",2.9
"2012-02",1.7
"2012-03",0.6
"2012-04",1.2
"2012-05",1.1
"2012-06",1.7
"2012-07",2.2
"2012-08",3.1
"2012-09",4.1
"2012-10",3.8
"2012-11",3.5
"2012-12",3.7
"2013-01",3.6
"2013-02",2.6
"2013-03",2.6
"2013-04",2.4
"2013-05",2.2
"2013-06",2.6
"2013-07",2.3
"2013-08",1.2
"2013-09",0.2
"2013-10",0.2
"2013-11",0.8
"2013-12",0.5
"2014-01",0.2
"2014-02",0.1
"2014-03",0.3
"2014-04",0.3
"2014-05",0.5
"2014-06",0.4
"2014-07",0.8
"2014-08",0.9
"2014-09",1.4
"2014-10",0.6
"2014-11",0.1
"2014-12",-0.4
"2015-01",-0.6
"2015-02",-0.3
"2015-03",-0.4
"2015-04",-0.4
"2015-05",-0.5
"2015-06",-0.4
"2015-07",-0.7
"2015-08",-0.7
"2015-09",-1.2
"2015-10",-0.8
"2015-11",-0.3
"2015-12",-0.1
"2016-01",0.1
"2016-02",0.1
"2016-03",0.1
"2016-04",-0.1
"2016-05",-0.1
"2016-06",-0.3
"2016-07",0.0
"2016-08",0.0
"2016-09",0.6
"2016-10",0.9
"2016-11",0.9
"2016-12",1.3
"2017-01",1.7
"2017-02",1.7
"2017-03",1.5
"2017-04",2.2
"2017-05",1.5
"2017-06",1.9
"2017-07",1.7
"2017-08",1.7
"2017-09",1.7
"2017-10",0.9
"2017-11",0.9
"2017-12",0.5
"2018-01",-0.2
"2018-02",0.0
"2018-03",0.1
"2018-04",0.4
"2018-05",1.0
"2018-06",0.8
"2018-07",1.2
"2018-08",1.5
"2018-09",1.4
"2018-10",1.5
"2018-11",2.1
"2018-12",2.9
"2019-01",3.1
"2019-02",3.2
"2019-03",3.3
"2019-04",3.4
"2019-05",3.4
"2019-06",3.0
"2019-07",2.6
"2019-08",2.7
"2019-09",2.4
"2019-10",2.2
"2019-11",1.7
"2019-12",1.2
"2020-01",1.5
"2020-02",1.0
"2020-03",0.7
"2020-04",0.3
"2020-05",0.2
"2020-06",0.1
"2020-07",-0.1
"2020-08",-0.5
"2020-09",-0.4
"2020-10",-0.2
"2020-11",-0.3
"2020-12",0.1
"2021-01",-0.2
"2021-02",0.7
"2021-03",1.2
"2021-04",1.9
"2021-05",2.0
"2021-06",2.4
"2021-07",3.5
"2021-08",4.7
"2021-09",4.9
"2021-10",5.7
"2021-11",6.9
"2021-12",6.7
"2022-01",7.1
"2022-02",7.5
"2022-03",10.0
"2022-04",11.2
"2022-05",12.5
"2022-06",14.1
"2022-07",14.2
