"TIME","GEO","UNIT","COICOP","Value","Flag and Footnotes"
"1997M01","North Macedonia","Annual rate of change","All-items HICP",":",""
"1997M01","Serbia","Annual rate of change","All-items HICP",":",""
"1997M02","North Macedonia","Annual rate of change","All-items HICP",":",""
"1997M02","Serbia","Annual rate of change","All-items HICP",":",""
"1997M03","North Macedonia","Annual rate of change","All-items HICP",":",""
"1997M03","Serbia","Annual rate of change","All-items HICP",":",""
"1997M04","North Macedonia","Annual rate of change","All-items HICP",":",""
"1997M04","Serbia","Annual rate of change","All-items HICP",":",""
"1997M05","North Macedonia","Annual rate of change","All-items HICP",":",""
"1997M05","Serbia","Annual rate of change","All-items HICP",":",""
"1997M06","North Macedonia","Annual rate of change","All-items HICP",":",""
"1997M06","Serbia","Annual rate of change","All-items HICP",":",""
"1997M07","North Macedonia","Annual rate of change","All-items HICP",":",""
"1997M07","Serbia","Annual rate of change","All-items HICP",":",""
"1997M08","North Macedonia","Annual rate of change","All-items HICP",":",""
"1997M08","Serbia","Annual rate of change","All-items HICP",":",""
"1997M09","North Macedonia","Annual rate of change","All-items HICP",":",""
"1997M09","Serbia","Annual rate of change","All-items HICP",":",""
"1997M10","North Macedonia","Annual rate of change","All-items HICP",":",""
"1997M10","Serbia","Annual rate of change","All-items HICP",":",""
"1997M11","North Macedonia","Annual rate of change","All-items HICP",":",""
"1997M11","Serbia","Annual rate of change","All-items HICP",":",""
"1997M12","North Macedonia","Annual rate of change","All-items HICP",":",""
"1997M12","Serbia","Annual rate of change","All-items HICP",":",""
"1998M01","North Macedonia","Annual rate of change","All-items HICP",":",""
"1998M01","Serbia","Annual rate of change","All-items HICP",":",""
"1998M02","North Macedonia","Annual rate of change","All-items HICP",":",""
"1998M02","Serbia","Annual rate of change","All-items HICP",":",""
"1998M03","North Macedonia","Annual rate of change","All-items HICP",":",""
"1998M03","Serbia","Annual rate of change","All-items HICP",":",""
"1998M04","North Macedonia","Annual rate of change","All-items HICP",":",""
"1998M04","Serbia","Annual rate of change","All-items HICP",":",""
"1998M05","North Macedonia","Annual rate of change","All-items HICP",":",""
"1998M05","Serbia","Annual rate of change","All-items HICP",":",""
"1998M06","North Macedonia","Annual rate of change","All-items HICP",":",""
"1998M06","Serbia","Annual rate of change","All-items HICP",":",""
"1998M07","North Macedonia","Annual rate of change","All-items HICP",":",""
"1998M07","Serbia","Annual rate of change","All-items HICP",":",""
"1998M08","North Macedonia","Annual rate of change","All-items HICP",":",""
"1998M08","Serbia","Annual rate of change","All-items HICP",":",""
"1998M09","North Macedonia","Annual rate of change","All-items HICP",":",""
"1998M09","Serbia","Annual rate of change","All-items HICP",":",""
"1998M10","North Macedonia","Annual rate of change","All-items HICP",":",""
"1998M10","Serbia","Annual rate of change","All-items HICP",":",""
"1998M11","North Macedonia","Annual rate of change","All-items HICP",":",""
"1998M11","Serbia","Annual rate of change","All-items HICP",":",""
"1998M12","North Macedonia","Annual rate of change","All-items HICP",":",""
"1998M12","Serbia","Annual rate of change","All-items HICP",":",""
"1999M01","North Macedonia","Annual rate of change","All-items HICP",":",""
"1999M01","Serbia","Annual rate of change","All-items HICP",":",""
"1999M02","North Macedonia","Annual rate of change","All-items HICP",":",""
"1999M02","Serbia","Annual rate of change","All-items HICP",":",""
"1999M03","North Macedonia","Annual rate of change","All-items HICP",":",""
"1999M03","Serbia","Annual rate of change","All-items HICP",":",""
"1999M04","North Macedonia","Annual rate of change","All-items HICP",":",""
"1999M04","Serbia","Annual rate of change","All-items HICP",":",""
"1999M05","North Macedonia","Annual rate of change","All-items HICP",":",""
"1999M05","Serbia","Annual rate of change","All-items HICP",":",""
"1999M06","North Macedonia","Annual rate of change","All-items HICP",":",""
"1999M06","Serbia","Annual rate of change","All-items HICP",":",""
"1999M07","North Macedonia","Annual rate of change","All-items HICP",":",""
"1999M07","Serbia","Annual rate of change","All-items HICP",":",""
"1999M08","North Macedonia","Annual rate of change","All-items HICP",":",""
"1999M08","Serbia","Annual rate of change","All-items HICP",":",""
"1999M09","North Macedonia","Annual rate of change","All-items HICP",":",""
"1999M09","Serbia","Annual rate of change","All-items HICP",":",""
"1999M10","North Macedonia","Annual rate of change","All-items HICP",":",""
"1999M10","Serbia","Annual rate of change","All-items HICP",":",""
"1999M11","North Macedonia","Annual rate of change","All-items HICP",":",""
"1999M11","Serbia","Annual rate of change","All-items HICP",":",""
"1999M12","North Macedonia","Annual rate of change","All-items HICP",":",""
"1999M12","Serbia","Annual rate of change","All-items HICP",":",""
"2000M01","North Macedonia","Annual rate of change","All-items HICP",":",""
"2000M01","Serbia","Annual rate of change","All-items HICP",":",""
"2000M02","North Macedonia","Annual rate of change","All-items HICP",":",""
"2000M02","Serbia","Annual rate of change","All-items HICP",":",""
"2000M03","North Macedonia","Annual rate of change","All-items HICP",":",""
"2000M03","Serbia","Annual rate of change","All-items HICP",":",""
"2000M04","North Macedonia","Annual rate of change","All-items HICP",":",""
"2000M04","Serbia","Annual rate of change","All-items HICP",":",""
"2000M05","North Macedonia","Annual rate of change","All-items HICP",":",""
"2000M05","Serbia","Annual rate of change","All-items HICP",":",""
"2000M06","North Macedonia","Annual rate of change","All-items HICP",":",""
"2000M06","Serbia","Annual rate of change","All-items HICP",":",""
"2000M07","North Macedonia","Annual rate of change","All-items HICP",":",""
"2000M07","Serbia","Annual rate of change","All-items HICP",":",""
"2000M08","North Macedonia","Annual rate of change","All-items HICP",":",""
"2000M08","Serbia","Annual rate of change","All-items HICP",":",""
"2000M09","North Macedonia","Annual rate of change","All-items HICP",":",""
